Frags,Occurances
[#6]:1:[#6]:[#6]:[#6]:[#6](-[#7](-[#6]-[#6])-[#6]-[#6]-[#8]):[#6]:1,2
[#6](-[Cl]):[#6]:[#6]:[#6]:[#6](-[#7]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8]):[#6],2
[#6]-[#7](-[#6]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](-[#6])-[#6](-[#8])=[#8],2
[#6]:1(-[F]):[#6]:[#6]:[#6](-[#7](-[#6]-[#6])-[#6](-[#6])=[#8]):[#6]:[#6]:1,2
[#6]=[#6]-[#6]=[#6](-[#6])-[#6]=[#6]-[#6]=[#8],2
[#6](-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6])(-[#6])-[#6]-[#6](-[#6])-[#6](-[#6]-[#6])-[#8]-[#6]-1-[#6]-[#6](-[#8])-[#6](-[#8]-[#6]-[#6])-[#6](-[#6])-[#8]-1,2
[#6](-[#6]-[#6]-[#6]-[#8]-[#6](-[#6](-[#8])-[#6]-[#8])-[#8]-[#6](-[#6]-[#8]-[#6]-[#6])-[#6]-[#8])(-[#6])(-[#6])-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8],2
[#6](-[#8]-[#6](-[#8]-[#6]-[#6](-[#8])-[#6])-[#6]-[#8])(-[#6]-[#8]-[#6]-1-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#6])-[#8]-1)-[#6](-[#8]-[#6]-[#6])-[#6]-[#8],2
[#6](-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#6]-[#8])-[#8])-[#8]-[#6](-[#6](-[#8]-[#6]-[#6]-[#6]-[#6]-[#8])-[#6]-[#6])-[#6]-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6],2
[#6](-[#6])(-[#8]-[#6](-[#6]-[#8]-[#6]-1-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1)-[#6](-[#8])-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#8]-[#6]-[#6]-[#8],2
[#6]-1(-[#8]-[#6]-[#6](-[#8]-[#6](-[#6]-[#8])-[#8]-[#6](-[#6])-[#6]-[#6])-[#6](-[#6]-[#8])-[#8]-[#6](-[#8]-[#6](-[#6])-[#6]-[#6])-[#6]-[#8])-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8],2
[#6](-[#8]-[#6](-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#6]-[#6])-[#6](-[#8])=[#8])-[#6])-[#8]-[#6](-[#6](-[#6]-[#6])-[#8]-[#6]-[#6](-[#8])-[#6]-[#6])-[#6],2
[#6]-1(-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1)-[#8]-[#6]-1-[#6](-[#6]-[#8])-[#8]-[#6](-[#8]-[#6](-[#6]-[#6])-[#6](-[#6])-[#6])-[#6]-[#6]-1-[#8],2
[#6]-1(-[#8]-[#6](-[#6](-[#8]-[#6]-2-[#8]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6]-2-[#8])-[#6](-[#6]-[#8])-[#8])-[#6]-[#8])-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8],2
[#6]:1:2:[#6]:3:[#6](:[#6]:[#6]:[#6](-[#8]):[#6]:3:[#6]:[#6]:[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:[#6]:[#6]):[#6]:[#6]:[#6]:1,2
[#6]:1(-[#6]-[#6]#[#7]):[#6]:[#6]:[#6](-[*]):[#6]:[#6]:1,2
[#6](-[#6]-[#16]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6],2
[#6]-[#6]-[#6](-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#8])-[#6](-[#6](-[#6]-[#8]-[#6])=[#6])-[#6]-[#6],2
[#6]-[#6](-[#6]-[#8]-[#6](-[#6])-[#8]-[#6](-[#6])-[#6]-[#6]-[#8])-[#6](-[#6]-[#6]-[#8])-[#6](-[#8])-[#6],2
[#6](-[#6]-[#6]-[#8]-[#6](-[#6]-[#8])-[#8]-[#6](-[#6])-[#6]-[#6]-[#8])=[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#8]-[#6],2
[#6]-1=[#6]-[#6]-[#6](-[#6]-[#6]-[#8]-[#6])-[#6]-1-[#6]-[#8]-[#6](-[#6]-[#6])-[#8]-[#6](-[#6]-[#8])-[#6],2
[#6]-[#6](-[#8])-[#6](-[#6]-[#6])-[#6]-[#6]-[#8]-[#6]-1-[#8]-[#6](-[#6])-[#6](-[#8])-[#6]-[#6]-1,2
[#6]-[#6]-[#6](-[#6]-[#6](-[#8]-[#6])=[#8])-[#6]-[#6]-[#8]-[#6]-1-[#8]-[#6](-[#6])-[#6](-[#8])-[#6]-[#6]-1,2
[#6](-[#8])-[#6]-[#6](-[#6]-[#8]-[#6]-[#6]-[#6])-[#6](-[#6]-[#6]-[#8]-[#6])-[#6]-[#6],2
[#6]-[#6]-[#6]-[#6](-[#6](-[#6](-[#8]-[#6])=[#8])=[#6]-[#8]-[#6])-[#6]-[#6],2
[#6](-[#8]-[#6]=[#6]-[#6]-[#6]-[#8])(-[#8])-[#6],2
[#6]-[#6]-[#6](-[#6]-[#8]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6])-[#8])-[#6](-[#6]-[#6]-[#8]-[#6])-[#6]-[#6],2
[#6]-[#6]=[#6]-[#6]-[#6](-[#6]-[#6]-[#8]-[#6])-[#6]-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6],2
[#6]-[#6]-[#6](-[#6]-[#6]-[#8]-[#6])-[#6]-[#6]-[#8]-[#6]-1-[#8]-[#6](-[#6])-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8],2
[#6](-[#8])-[#6](-[#6]-[#6])-[#6]-[#6](-[#8]-[#6]-[#6]-[#6](-[#8])-[#6]-[#6](-[#6]-[#8])-[#8])-[#8],2
[#6]-[#6]-[#6](-[#6]-[#8]-[#6]-1-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8])-[#6](-[#6]-[#6]-[#8]-[#6])-[#6],2
[#6](-[#6]-[#6](-[#8]-[#6]-[#6]-[#6]-[#6]-[#6](-[#6]-[#8])-[#8])-[#8])=[#6]-[#6](-[#8])-[#6]-[#6]-[#6],2
[#6]-[#6]-[#6](-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6](-[#6]-[#6]-[#8]-[#6])-[#6](-[#8])-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6]-[#6](-[#7]-[#6]-[#6]-[#8]-[#15](-[#8])(-[#8]-[#6]-[#6](-[#8])-[#6]-[#8])=[#8])=[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6],2
[#6]-[#6]-[#8]-[#15](-[#8])(-[#8]-[#6]-1-[#8]-[#6](-[#6](-[#8])-[#6](-[#8]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6]-1-[#7]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6]-[#8]-[#6]-1-[#6](-[#7]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6](-[#8]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6](-[#8]-[#15](-[#8])(-[#8])=[#8])-[#6](-[#6]-[#8])-[#8]-1)=[#8],2
[#6](-[#6]-[#8]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6]-[#8]-[#15](-[#8])(-[#8]-[#6]-[#6](-[#8])-[#6]-[#8])=[#8],2
[#6](-[#6]-[#16])(-[#6](-[#7]-[#6]-[#6](-[#7]-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6])=[#8])=[#8])-[#7]-[#6](-[#6])=[#8],2
[#8]-[#6](-[#6](-[#7])-[#6]-[#6]-[#6](-[#7]-[#6](-[#6]-[#16])-[#6](-[#7]-[#6]-[#6](-[#7]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6]-[#6])=[#8])=[#8])=[#8])=[#8],2
[#6]-[#6]-[#6](-[#7]-[#6]-[#6](-[#7]-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6])=[#8])=[#8],2
[#6](-[#6]-[#16]-[#16]-[#6]-[#6](-[#7])-[#6](=[#8])-[#7]-[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6])(-[#6](-[#7]-[#6]-[#6](-[#7]-[#6]-[#6]-[#6]-[#6])=[#8])=[#8])-[#7]-[#6](-[#6]-[#6]-[#6]-[#7])=[#8],2
[#6](=[#6]-[#6]=[#6]-[#6]:1:[#6]:[#6](-[#6]-[#6]):[#6]:[#6]:[#6]:1)-[#6]-[#8],2
[#6]:1:[#6]:[#6]:[#6]:[#6](-[#6](-[#6]=[#8])=[#6]-[#6]=[#6]-[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]):[#6]:1,2
[#6]-[#6]-[#6]-[#8]-[#6](=[#6]-[#6])-[#6]-[#8],2
[#6]:1:[#6]:[#6](-[#6]-[#6]):[#6]:[#6](-[#6]-[#6](=[#8])-[#8]-[#6]):[#6]:1,2
[#6]:1(-[#6]=[#6]-[#6]-[#8]):[#6]:[#6]:[#6](-[#8]):[#6](-[#6]-[#6]):[#6]:1,2
[#6](-[#6](-[#8])=[#8])-[#6]:1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,2
[#6]-[#6](=[#6]-[#6]=[#6]-[#6]:[#6]:[#6](-[#6]-[#6]):[#6])-[#6],2
[#6]:1:[#6](-[#8]):[#6](-[#6]):[#6]:[#6](-[#6]-[#6]=[#8]):[#6]:1,2
[#6]:[#6]-[#6]=[#6]-[#6]-[#8]-[#6]=[#8],2
[#6]:1:[#6](-[#6](-[#6](-[#8]-[#6])=[#8])=[#6]-[#8]):[#6]:[#6]:[#6]:[#6]:1,2
[#6](-[#6](-[#8])=[#8])(-[#6])=[#6](-[#8])-[#6],2
[#6]-[#6]-[#16]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6],2
[#7]-[#6](-[#6])-[#6]=[#6]-[#6]-[#6]-[#6]=[#6]-[#6]=[#6](-[#6])-[#6]-[#6]-[#6],2
[#6]-[#6]-[#6]=[#6]-[#6]=[#6]-[#6]-[#6]-[#6](-[#8]-[#6])-[#6]-[#6],2
[#6](-[#16]-[#6])=[#7]-[#6],2
[#6]:1(-[#6]=[#6](-[#6]=[#8])-[#7]-[#6]):[#6]:[#6]:[#6]:[#6]:[#6]:1,2
[#6]-[#6]=[#6](-[#6]-[#7]-[#6])-[#7],2
[#6]=[#6](-[#7]-[#6])-[#6](-[#7]-[*])=[#8],2
[#6](:[#7]:[#6])-[#7]-[#6]-[#6]-[#7]-[#6],2
[#6]-[#6](-[#7]-[#6]:[#7]:[#6]:[#6]-[#6])=[#8],2
[#6]:1:[#6](:[#6]:[#6]:[#6]:[#6]:1)-[#16](-[#7](-[#6])-[#6]-[#6](-[#7]-[#6])=[#8])(=[#8])=[#8],2
[#6]:1:[#6]:[#6]:[#6](-[#6]-[#8]):[#6](-[#16](-[#7])(=[#8])=[#8]):[#6]:1,2
[#6]-[#6](-[#8])=[#6](-[#6]=[#8])-[#7]-[#6],2
[#6](:[#6]:[#6]:[#6])(-[#6]-[#8]):[#6]-[#16](-[#7]-[#6])(=[#8])=[#8],2
[#6](-[#6]-[#6]-[#6](-[#8])=[#8])-[#6]=[#6]-[#6]-[#6]=[#6](-[#6])-[#6],2
[#6](-[#6](=[#8])-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6],2
[#6](-[#6]-[#6])(-[#6]-[#6]=[#6])=[#6](-[#6]=[#6]-[#6])-[#6],2
[#6](-[#6]-[#6])=[#6](-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]=[#8],2
[#6](-[#6]-[#6]=[#6](-[#6])-[#6]=[#6])=[#6]-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8],2
[#6](-[#6]=[#6]-[#6]-[#6]-[#6]-[#6])-[#6]=[#6]-[#6]=[#6]-[#6]-[#8],2
[#6](-[#6]=[#8])(-[#6])=[#6](-[#6]=[#6]-[#6])-[#6],2
[#6](-[#6]-[#6]-[#6])=[#6]-[#6]=[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6],2
[#6](-[#6]=[#6]-[#6](-[#6])=[#8])=[#6]-[#6]-[#8],2
[#6]=[#6](-[#6]=[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6],2
[#6](-[#6]=[#6]-[#6]=[#6](-[#6])-[#6])(-[#6])-[#8],2
[#6]-1-2=[#6]-[#6]-[#6]-3-[#6](-[#6])(-[#6]-[#6]-[#6]-[#6]-3)-[#6]-2-[#6]-[#6]-[#6]-2(-[#6])-[#6]-1-[#6]-[#6]-[#6]-2-[#6](-[#6])-[#6]=[#6]-[#6]-[#6]-[#6],2
[#6](-[#6]-[#6](-[#6])-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#7])-[#6]-[#6])-[#6](-[#7]-[#6])-[#6]-[#6]-[#6]-[#6],2
[#6]-[#6]=[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#6])-[#6](-[#6](-[#6])-[#6]-[#6]-[#6]-[#6])-[#6],2
[#6](-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]=[#6]-[#6](-[#6]-[#6])=[#6])-[#6])-[#6]-[#6]-[#6]-[#6]-[#6],2
[#6](-[#6])-[#6]-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6]-[#6](-[#6]-[#6])-[#6](-[#6]-[#6]=[#6]-[#6]=[#6])-[#6]-[#6],2
[#6](-[#7]-[#6])-[#6]-[#6]-[#6](-[#6])(-[#6]-[#6]-[#6]-[#6](-[#6])(-[#6](-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#7])-[#6]-[#6])-[#6]-[#6])-[#6],2
[#6](-[#6]-[#6])(-[#6])-[#6](-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]-[#7]-[#6],2
[#6](-[#6](-[#7]-[#6])-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6],2
[#6](-[#6]-[#6]-[#7]-[#6])(-[#6]-[#6]=[#6])-[#6](-[#6]-[#6]-[#6])-[#6]-[#6],2
[#6]-[#6]-[#6]-[#6](-[#6])-[#6]=[#6]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6],2
[#6]-[#7]-[#6]-[#6](=[#6](-[#6])-[#6]=[#6]-[#6])-[#6],2
[#6]:1(-[#8]):[#6]:[#6](-[#8]):[#6]:2:[#6](:[#8]:[#6](-[#6]:3:[#6]:[#6](-[#8]):[#6](-[#8]):[#6](-[#8]-[#6]-4-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-4-[#8]):[#6]:3):[#6](-[#8]-[#6]-3-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#6]-[#8]-[#6](-[#6]-[#6](-[#8])=[#8])=[#8])-[#8]-3):[#6]:2):[#6]:1,2
[#6]:1(:[#6]:[#6](-[#8]-[#6]):[#6](-[#8]):[#6](-[#8]-[#6]):[#6]:1)-[#6]:[#6]:[#6]:[#6]:[#6]:[#6],2
[#6]-[#6](-[#6])=[#6]-[#6]=[#6]-[#6](-[#6])=[#6]-[#6]=[#6]-[#6]=[#6](-[#6])-[#6]=[#6]-[#6]=[#6](-[#6])-[#6]-[#6]-[#6]=[#6](-[#6])-[#6],2
[#6]-[#6]=[#6]-[#6]=[#6]-[#6]=[#6]-[#6]=[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6],2
[#6](-[#6])=[#6]-[#6]=[#6]-[#6]=[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6],2
[#6]-[#6]=[#6]-[#6]-[#6]-[#6](-[#6])=[#6]-[#6]-[#6]-[#6](-[#6])=[#6]-[#6]=[#6]-[#6]-[#6],2
[#8]-[#6]-[#6]-1-[#6](-[#6]=[#6])-[#6]-1(-[#6])-[#6],2
[#15](-[#8])(-[#8])(-[#8]-[#15](-[#8])(-[#8]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6])=[#8])=[#8],2
[#6](-[#6]=[#6])-[#6]-[#6]-[#6]-[#8]-[#15](-[#8])(-[#8])=[#8],2
[#6]-[#6]-[#6](-[#6])-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])(-[#6](-[#6](-[#6]-[#8])=[#8])-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#8],2
[#6]-1-[#6](-[#8])-[#6]-[#6](-[#6]-[#6]-[#6]-2-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]-2-[#6]-[#6]-[#6](-[#8])-[#6]-[#6]-[#8])-[#6](-[#6])-[#6]-1,2
[#6](-[#8])-[#6]-[#6]-[#6](-[#6])(-[#6]-[#6](-[#6]-[#6](-[#6](-[#8])(-[#6]-[#6]-[#8])-[#6]-[#6])-[#6]-[#6]-[#8])-[#6])-[#6],2
[#6](-[#6])-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]-[#6](-[#6]-[#8])-[#6]-[#6]-[#6]-[#6](-[#8])(-[#6](-[#6])=[#8])-[#6]-[#6],2
[#6](-[#6])-[#6](-[#8])-[#6]-[#6]-1-[#6](-[#6])-[#6](-[#6]-[#8])-[#6](-[#6]-2-[#6](-[#6])(-[#6](-[#6](-[#6])=[#8])-[#6]-[#6]-2)-[#6])-[#6]-[#6]-1,2
[#6]-1-[#6](-[#8])-[#6]-[#6]-2-[#6](-[#6])(-[#6]-3-[#6](-[#6]-4-[#6](-[#6])(-[#6](-[#8])(-[#6](-[#6]-[#8])=[#8])-[#6]-[#6]-4)-[#6]-[#6]-3)-[#6]-[#6]-2)-[#6]-1,2
[#6](-[#6])-[#6](-[#8])-[#6]-[#6]-[#6](-[#6])-[#6](-[#6]-[#8])-[#6](-[#6](-[#6]-[#6]-[#6](-[#8])-[#6](-[#6])=[#8])-[#6]-[#6])-[#6]-[#6],2
[#6]-[#6]-[#6](-[#6])(-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])(-[#6](-[#8])(-[#6]-[#6]-[#8])-[#6]-[#6])-[#6]-[#6])-[#6](-[#6]-[#6])-[#6],2
[#6](-[#8])(-[#6]-[#6]-[#8])(-[#6])-[#6]-1(-[#6])-[#6]-[#6](-[#6])-[#6](-[#6]-[#6])-[#6](-[#8])-[#6]-1,2
[#6](-[#6]-[#6](-[#6])-[#6]-[#6](-[#8])-[#6]-[#6]-[#6](-[#8])-[#6]-[#6]-[#8])-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6],2
[#6]-[#6](-[#8])-[#6]-[#6]-[#6](-[#8])-[#6](-[#6]-[#8])=[#8],2
[#6](-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])=[#8],2
[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8],2
[#6](-[#6]-[#6])(-[#8])(-[#6]=[#6]-[#6](-[#6])=[#6]-[#6]=[#8])-[#6](-[#6])(-[#6])-[#6]-[#6](-[#6])=[#8],2
[#6]-1(-[#8])(-[#6]=[#6]-[#6](-[#6])=[#6]-[#6])-[#6](-[#6])(-[#6])-[#6]-[#6](-[#6]=[#6]-1-[#6])=[#8],2
[#6]-[#6]-[#6]-[#7](-[#6])-[#6](-[#6]-[#6]:1:[#6](:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:1)-[#6])-[#6],2
[#6]:1:[#6](:[#6](:[#6](-[#8]):[#6](-[#8]-[#6]):[#6]:1)-[#6]:1:[#6](:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:1-[#8])-[#6])-[#6],2
[#6]:1(-[#6]-[#6]):[#6]:[#6](:[#6]:[#6](-[#8]-[#6]):[#6]:1)-[#6]:1:[#6](:[#6]:[#6]:[#6]:[#6]:1-[#8])-[#6]-[#6],2
[#8]-[#6]-1-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8]-[#6]-2-[#8]-[#6](-[#6])-[#6](-[#8])-[#6](-[#8])-[#6]-2-[#8])-[#6]-1-[#7]-[#6](-[#6])=[#8],2
[#6]:1:[#6](-[#8]):[#6]:[#6]:[#6]:[#8]:[#6]:[#6]:[#6]:[#8]:[#6]:[#6]:[#6]:1,2
[#6](:[#6]:[#6]:[#6](:[#6]:[#6]-[#8]):[#6]:[#6]:[#6]-[#8]):[#6](:[#6](-[#8]):[#6]:[#6]-[#8]):[#6]:[#6],2
[#6](:[#8]:[#6]:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]):[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]-[#8],2
[#6](-[#6](-[#7]-[#6](-[#6]-[#6]-[#6]-[#6])=[#8])-[#6](=[#8])-[#7]-[#6]-[#6](-[#8])=[#8])-[#16]-[#6]-[#6]-[#8],2
[#6]:[#6]:[#6]:[#6]:[#6](-[#6]-[#6]-[#16]-[#6]-[#6]-[#6]):[#6],2
[#6]:1:[#6]:[#6]:[#6]:[#6](-[#6]-[#6]-[#16]-[#6]-[#6]-[#7]-[#6](-[#6]-[#6])=[#8]):[#6]:1,2
[#8]-[#6](-[#6](-[#7])-[#6]-[#6]-[#6](-[#7]-[#6](-[#6]-[#16]-[*])-[#6](-[#7]-[#6]-[#6](-[#8])=[#8])=[#8])=[#8])=[#8],2
[#6]-[#6]=[#6]-[#6](-[#16]-[#6]-[#6](-[#7]-[#6](-[#6]-[#6]-[#6](-[#7])-[#6](-[#8])=[#8])=[#8])-[#6]=[#8])-[#6](-[#8])-[#6],2
[#6]-1(-[#8])-[#6](-[#8])-[#6](-[#6]-[#8]-[#6]-2(-[#6](-[#8])=[#8])-[#6]-[#6](-[#6](-[#8])-[#6](-[#6](-[#8])-[#6]-[#8])-[#8]-2)-[#8])-[#8]-[#6](-[#8]-[#6]-[#6]-2-[#6](-[#8])-[#6](-[#8]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6](-[#7]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6](-[#8]-[#15](-[#8]-[#6]-[#6]-[#7])(-[#8])=[#8])-[#8]-2)-[#6]-1-[#7]-[#6](-[#6]-[#6](-[#8]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])=[#8],2
[#7]:1(-[#6]-[#8]-[#6]):[#6]:[#6]:[#6]:[#6]:[#6]:1,2
[#6](-[#6](-[#6]-[#8]-[#15](-[#8])(-[#8])=[#8])-[#8]-[#6](-[#7](:[#6]:[#6]:[#6]:[#6]-[#6]):[#6])-[#6]-[#8])-[#8],2
[#6](-[#6](-[#6]-[#8]-[#15](-[#8])(-[#8])=[#8])-[#8])(-[#8])-[#6](-[#8])-[#6]-[#7](:[#6]:[#6]:[#6]:[#6]-[#6]):[#6],2
[#7](:[#6]:[#6]-[#6](-[#8])=[#8]):[#6]:[#6]-[#6]=[#8],2
[#6]-1(-[#8])-[#6](-[#8])-[#6](-[#7](:[#6]:[#6]-[#6]=[#8]):[#6])-[#8]-[#6]-1-[#6]-[#8]-[#15](-[#8])(-[#8])=[#8],2
[#6](-[#6]-[#6]-[#8])-[#6]-[#6]-[#7]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1,2
[#6](-[#6](-[#6](-[#8])=[#8])=[#8])-[#6]-[#6](-[#8])-[#6],2
[#8]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#6]-[#8])=[#8],2
[#8]-[#6]-[#6]-[#6](-[#8])-[#6]-[#6](-[#6](-[#8])=[#8])=[#8],2
[#6](-[#6]-[#6]-[#6](-[#8])=[#8])-[#6]-[#6](-[#8])=[#8],2
[#6](-[#8]-[#6])-[#6](-[#6])(-[#6]-[#6])-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6](-[#8])-[#6]-[#6](-[#8]-[#6](-[#6])=[#8])-[#6]-1-[#6]-[#8],2
[#6](-[#6]-[#6]-[#6])-[#6]-[#6](-[#6](-[#6](-[#6])=[#8])-[#6]-[#6]-[#8])(-[#6])-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6])-[#6],2
[#6](-[#8])(-[#6]-[#6](-[#8])-[#6])(-[#6]-[#6]-[#6])-[#6](-[#6](-[#8])-[#6]-[#6]-[#6](-[#6])(-[#6])-[#6](-[#8]-[#6](-[#6])=[#8])-[#6]-[#6]-[#6])-[#6],2
[#8]-[#6](-[#6]-[#6](-[#8])-[#6]-[#6](-[#8])-[#6])-[#8],2
[#6](-[#6]-[#6](-[#6])-[#6]-[#6](-[#8])-[#6](=[#8])-[#6](-[#6])-[#6](-[#6])-[#6]-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6])-[#6]-[#8],2
